date,Val_cat,value,trip_time_index
2021-11-01,05-9min,12,
2021-11-01,10-14min,12,
2021-11-01,15-19min,5,
2021-11-01,20 min up,10,
2021-11-02,00-4min,3,
2021-11-02,05-9min,8,
2021-11-02,10-14min,10,
2021-11-02,15-19min,3,
2021-11-02,20 min up,13,
2021-11-03,00-4min,3,
2021-11-03,05-9min,10,
2021-11-03,10-14min,7,
2021-11-03,15-19min,1,
2021-11-03,20 min up,11,
2021-11-04,00-4min,1,
2021-11-04,05-9min,8,
2021-11-04,10-14min,5,
2021-11-04,15-19min,5,
2021-11-04,20 min up,11,
2021-11-05,00-4min,2,
2021-11-05,05-9min,12,
2021-11-05,10-14min,8,
2021-11-05,15-19min,1,
2021-11-05,20 min up,22,
2021-11-06,00-4min,2,
2021-11-06,05-9min,10,
2021-11-06,10-14min,12,
2021-11-06,15-19min,6,
2021-11-06,20 min up,27,
2021-11-07,00-4min,2,
2021-11-07,05-9min,14,
2021-11-07,15-19min,2,
2021-11-07,20 min up,33,
2021-11-08,00-4min,2,
2021-11-08,05-9min,5,
2021-11-08,10-14min,5,
2021-11-08,15-19min,2,
2021-11-08,20 min up,7,
2021-11-09,00-4min,2,
2021-11-09,05-9min,20,
2021-11-09,10-14min,7,
2021-11-09,15-19min,3,
2021-11-09,20 min up,12,
2021-11-10,00-4min,1,
2021-11-10,05-9min,13,
2021-11-10,10-14min,4,
2021-11-10,15-19min,2,
2021-11-10,20 min up,4,
2021-11-11,00-4min,2,
2021-11-11,05-9min,12,
2021-11-11,10-14min,10,
2021-11-11,15-19min,3,
2021-11-11,20 min up,8,
2021-11-12,00-4min,3,
2021-11-12,05-9min,9,
2021-11-12,10-14min,2,
2021-11-12,15-19min,4,
2021-11-12,20 min up,8,
2021-11-13,00-4min,3,
2021-11-13,05-9min,9,
2021-11-13,10-14min,4,
2021-11-13,20 min up,14,
2021-11-14,00-4min,2,
2021-11-14,05-9min,5,
2021-11-14,10-14min,9,
2021-11-14,15-19min,5,
2021-11-14,20 min up,34,
2021-11-15,05-9min,8,
2021-11-15,10-14min,5,
2021-11-15,15-19min,3,
2021-11-15,20 min up,20,
2021-11-16,00-4min,2,
2021-11-16,05-9min,17,
2021-11-16,10-14min,4,
2021-11-16,15-19min,4,
2021-11-16,20 min up,17,
2021-11-17,00-4min,2,
2021-11-17,05-9min,6,
2021-11-17,15-19min,4,
2021-11-17,20 min up,18,
2021-11-18,05-9min,8,
2021-11-18,10-14min,4,
2021-11-18,15-19min,1,
2021-11-18,20 min up,6,
2021-11-19,00-4min,1,
2021-11-19,05-9min,5,
2021-11-19,10-14min,8,
2021-11-19,15-19min,4,
2021-11-19,20 min up,12,
2021-11-20,00-4min,2,
2021-11-20,05-9min,11,
2021-11-20,10-14min,11,
2021-11-20,20 min up,15,
2021-11-21,00-4min,1,
2021-11-21,05-9min,13,
2021-11-21,10-14min,13,
2021-11-21,15-19min,14,
2021-11-21,20 min up,28,
2021-11-22,00-4min,1,
2021-11-22,05-9min,8,
2021-11-22,10-14min,6,
2021-11-22,15-19min,4,
2021-11-22,20 min up,5,
2021-11-23,05-9min,5,
2021-11-23,15-19min,2,
2021-11-23,20 min up,5,
2021-11-24,00-4min,6,
2021-11-24,05-9min,7,
2021-11-24,10-14min,4,
2021-11-24,15-19min,4,
2021-11-24,20 min up,8,
2021-11-25,00-4min,1,
2021-11-25,05-9min,13,
2021-11-25,10-14min,2,
2021-11-25,15-19min,3,
2021-11-25,20 min up,7,
2021-11-26,00-4min,1,
2021-11-26,05-9min,14,
2021-11-26,10-14min,4,
2021-11-26,15-19min,3,
2021-11-26,20 min up,4,
2021-11-27,00-4min,3,
2021-11-27,05-9min,3,
2021-11-27,10-14min,2,
2021-11-27,20 min up,6,
2021-11-28,00-4min,2,
2021-11-28,05-9min,11,
2021-11-28,10-14min,6,
2021-11-28,15-19min,2,
2021-11-28,20 min up,18,
2021-11-29,00-4min,3,
2021-11-29,05-9min,12,
2021-11-29,10-14min,6,
2021-11-29,15-19min,8,
2021-11-29,20 min up,12,
2021-11-30,05-9min,9,
2021-11-30,10-14min,3,
2021-11-30,15-19min,2,
2021-11-30,20 min up,5,
